screening_id,keeper_key,ai_initial_priority,ai_suggested_role,ai_priority_reason,title,year,publication,category,doi,has_pdf,pdf_path,collections,title_screen_decision_include_maybe_exclude,title_screen_reason_manual,abstract_screen_decision_include_maybe_exclude,abstract_population_manual,abstract_modality_manual,abstract_ai_method_manual,abstract_outcome_manual,full_text_screen_decision_include_maybe_exclude,full_text_sample_manual,full_text_dataset_source_manual,full_text_study_design_manual,full_text_model_metrics_manual,full_text_limitations_manual,quality_signal_strong_moderate_weak_manual,final_use_role_core_background_gap_future_exclude_manual,reviewer_notes_manual
P062,DD3Q7SBP,Medium,clinical_screening_context,clinical screening/assessment relevance; video/behavior modality; useful mainly for multimodal/future-work context; less central modality for current speech/language project; PDF missing; title/abstract screening only until PDF is retrieved,Detection of Autism Spectrum Disorders from EEG Signals using Multi-Input One-Dimensional Convolutional Neural Networks,2024,not reported,Video / Behavior / Movement; Neuroimaging / EEG / Biomarkers; Clinical Tools / Screening,10.1109/siu61531.2024.10601094,no,,00_All_ASD_AI_Literature; 03_Video_Behavior; 06_Clinical_Ethics_Privacy,exclude,"Relevant to broader multimodal ASD AI, but not central to current speech/language ASD workflow.",exclude,,,,,exclude,,,,,,Not_appraised,exclude,"Relevant to broader multimodal ASD AI, but not central to current speech/language ASD workflow."
P063,PV7XF7MD,Medium,clinical_screening_context,clinical screening/assessment relevance,From Data to Diagnosis: AI’s Role in Transforming Neurodevelopmental Healthcare,2024,African Journal of Biomedical Research,Clinical Tools / Screening; Intervention / Therapy / Education,10.53555/ajbr.v27i6s.7886,yes,/Users/porschecaa/Zotero/storage/X8I8SFJB/From Data to Diagnosis - AI’s Role in Transforming Neurodevelopmental Healthcare.pdf,01_Speech_Audio; 06_Clinical_Ethics_Privacy; 00_All_ASD_AI_Literature,exclude,"Not selected after balancing relevance, evidence strength, and redundancy against stronger included papers.",exclude,,,,,exclude,,,,,,Not_appraised,exclude,"Not selected after balancing relevance, evidence strength, and redundancy against stronger included papers."
P064,7KVP8XNC,Medium,clinical_screening_context,clinical screening/assessment relevance,Leveraging AI for the diagnosis and treatment of autism spectrum disorder: Current trends and future prospects.,2024,Asian journal of psychiatry,Clinical Tools / Screening; Intervention / Therapy / Education; General AI / ML Prediction,10.1016/j.ajp.2024.104241,yes,/Users/porschecaa/Downloads/Leveraging AI for the diagnosis and treatment of autism spectrum disorder - Current trends and future prospects.pdf,03_Video_Behavior; 00_All_ASD_AI_Literature,exclude,"Not selected after balancing relevance, evidence strength, and redundancy against stronger included papers.",exclude,,,,,exclude,,,,,,Not_appraised,exclude,"Not selected after balancing relevance, evidence strength, and redundancy against stronger included papers."
P065,YVSWDB6F,Medium,clinical_screening_context,clinical screening/assessment relevance,Machine learning classification of autism spectrum disorder based on reciprocity in naturalistic social interactions,2024,Translational Psychiatry,Clinical Tools / Screening; General AI / ML Prediction,10.1038/s41398-024-02802-5,yes,/Users/porschecaa/Zotero/storage/RG835D8P/Machine learning classification of autism spectrum disorder based on reciprocity in naturalistic social interactions.pdf,03_Video_Behavior; 06_Clinical_Ethics_Privacy; 00_All_ASD_AI_Literature,exclude,"Not selected after balancing relevance, evidence strength, and redundancy against stronger included papers.",exclude,,,,,exclude,,,,,,Not_appraised,exclude,"Not selected after balancing relevance, evidence strength, and redundancy against stronger included papers."
P066,RNYMMKF9,Medium,clinical_screening_context,clinical screening/assessment relevance; video/behavior modality; useful mainly for multimodal/future-work context; PDF missing; title/abstract screening only until PDF is retrieved,Predictive approach for Autism Detection using Computer Vision and Deep Learning,2024,not reported,Video / Behavior / Movement; Clinical Tools / Screening; Intervention / Therapy / Education; General AI / ML Prediction,10.1109/mitadtsocicon60330.2024.10575142,no,,00_All_ASD_AI_Literature; 03_Video_Behavior,exclude,"Relevant to broader multimodal ASD AI, but not central to current speech/language ASD workflow.",exclude,,,,,exclude,,,,,,Not_appraised,exclude,"Relevant to broader multimodal ASD AI, but not central to current speech/language ASD workflow."
P067,K4BGUVA2,Medium,clinical_screening_context,clinical screening/assessment relevance; video/behavior modality; useful mainly for multimodal/future-work context,Reliable Autism Spectrum Disorder Diagnosis for Pediatrics Using Machine Learning and Explainable AI,2024,Diagnostics,Video / Behavior / Movement; Clinical Tools / Screening; Intervention / Therapy / Education; General AI / ML Prediction,10.3390/diagnostics14222504,yes,/Users/porschecaa/Downloads/Reliable Autism Spectrum Disorder Diagnosis for Pediatrics Using Machine Learning and Explainable AI.pdf,03_Video_Behavior; 00_All_ASD_AI_Literature; 06_Clinical_Ethics_Privacy,exclude,"Relevant to broader multimodal ASD AI, but not central to current speech/language ASD workflow.",exclude,,,,,exclude,,,,,,Not_appraised,exclude,"Relevant to broader multimodal ASD AI, but not central to current speech/language ASD workflow."
P068,SHQ9NSPW,Medium,review_background_or_gap,review/synthesis paper useful for background and gap framing; video/behavior modality; useful mainly for multimodal/future-work context; less central modality for current speech/language project,Sensing technologies and machine learning methods for emotion recognition in autism: Systematic review,2024,International Journal of Medical Informatics,Review / Survey; Video / Behavior / Movement; General AI / ML Prediction,10.1016/j.ijmedinf.2024.105469,yes,/Users/porschecaa/Zotero/storage/2Y6U56XW/Sensing technologies and machine learning methods for emotion recognition in autism - Systematic review.pdf,06_Clinical_Ethics_Privacy; 07_Review_Papers; 00_All_ASD_AI_Literature,exclude,"Relevant to broader multimodal ASD AI, but not central to current speech/language ASD workflow.",exclude,,,,,exclude,,,,,,Not_appraised,exclude,"Relevant to broader multimodal ASD AI, but not central to current speech/language ASD workflow."
P069,96KLN4QP,Medium,clinical_screening_context,clinical screening/assessment relevance,Transparent deep learning to identify autism spectrum disorders (ASD) in EHR using clinical notes,2024,Journal of the American Medical Informatics Association,General AI / ML Prediction,,yes,/Users/porschecaa/Downloads/Transparent deep learning to identify autism spectrum disorders (ASD) in EHR using clinical notes.pdf,02_Language_Text; 00_All_ASD_AI_Literature; 06_Clinical_Ethics_Privacy,exclude,"Not selected after balancing relevance, evidence strength, and redundancy against stronger included papers.",exclude,,,,,exclude,,,,,,Not_appraised,exclude,"Not selected after balancing relevance, evidence strength, and redundancy against stronger included papers."
P070,I7QH5SZP,Medium,clinical_screening_context,clinical screening/assessment relevance; video/behavior modality; useful mainly for multimodal/future-work context; less central modality for current speech/language project,Utilizing deep learning models in an intelligent eye-tracking system for autism spectrum disorder diagnosis,2024,Frontiers in Medicine,Eye Tracking / Gaze; Clinical Tools / Screening; General AI / ML Prediction,10.3389/fmed.2024.1436646,yes,/Users/porschecaa/Zotero/storage/BTQS8548/Utilizing deep learning models in an intelligent eye-tracking system for autism spectrum disorder diagnosis.pdf,03_Video_Behavior; 06_Clinical_Ethics_Privacy; 00_All_ASD_AI_Literature,exclude,"Relevant to broader multimodal ASD AI, but not central to current speech/language ASD workflow.",exclude,,,,,exclude,,,,,,Not_appraised,exclude,"Relevant to broader multimodal ASD AI, but not central to current speech/language ASD workflow."
P071,MMJXY5DF,Medium,clinical_screening_context,clinical screening/assessment relevance,Validation of a Mobile App for Remote Autism Screening in Toddlers,2024,NEJM AI,Clinical Tools / Screening,,yes,/Users/porschecaa/Downloads/Validation of a Mobile App for Remote Autism Screening in Toddlers.pdf,03_Video_Behavior; 00_All_ASD_AI_Literature; 06_Clinical_Ethics_Privacy,maybe,Good clinical remote-screening validation angle; add if mobile-app workflow becomes central.,maybe,,,,,maybe,,,,,,Not_appraised,reserve_candidate,Good clinical remote-screening validation angle; add if mobile-app workflow becomes central.
P072,4T2ZMISW,Medium,clinical_screening_context,clinical screening/assessment relevance; video/behavior modality; useful mainly for multimodal/future-work context,Video Based Computational Coding of Movement Anomalies in ASD Children,2024,not reported,Video / Behavior / Movement; Clinical Tools / Screening; Intervention / Therapy / Education; General AI / ML Prediction,10.1109/cvprw63382.2024.00045,yes,/Users/porschecaa/Downloads/Video Based Computational Coding of Movement Anomalies in ASD Children.pdf,03_Video_Behavior; 00_All_ASD_AI_Literature; 06_Clinical_Ethics_Privacy,exclude,"Relevant to broader multimodal ASD AI, but not central to current speech/language ASD workflow.",exclude,,,,,exclude,,,,,,Not_appraised,exclude,"Relevant to broader multimodal ASD AI, but not central to current speech/language ASD workflow."
P073,IWCUAR8F,Medium,clinical_screening_context,clinical screening/assessment relevance; video/behavior modality; useful mainly for multimodal/future-work context,Autism Spectrum Disorder of Computational Prediction using Machine Learning,2025,not reported,Video / Behavior / Movement; Clinical Tools / Screening; Intervention / Therapy / Education; General AI / ML Prediction,10.1109/icscn67106.2025.11308691,yes,/Users/porschecaa/Downloads/Autism Spectrum Disorder of Computational Prediction using Machine Learning.pdf,03_Video_Behavior; 00_All_ASD_AI_Literature; 06_Clinical_Ethics_Privacy,exclude,"Relevant to broader multimodal ASD AI, but not central to current speech/language ASD workflow.",exclude,,,,,exclude,,,,,,Not_appraised,exclude,"Relevant to broader multimodal ASD AI, but not central to current speech/language ASD workflow."
P074,PBUNR78Z,Medium,clinical_screening_context,clinical screening/assessment relevance; video/behavior modality; useful mainly for multimodal/future-work context,Automated AI based identification of autism spectrum disorder from home videos,2025,npj Digital Medicine,Video / Behavior / Movement; Clinical Tools / Screening; General AI / ML Prediction,10.1038/s41746-025-01993-5,yes,/Users/porschecaa/Zotero/storage/XTNFEPHH/Automated AI based identification of autism spectrum disorder from home videos.pdf,03_Video_Behavior; 06_Clinical_Ethics_Privacy; 00_All_ASD_AI_Literature,exclude,"Relevant to broader multimodal ASD AI, but not central to current speech/language ASD workflow.",exclude,,,,,exclude,,,,,,Not_appraised,exclude,"Relevant to broader multimodal ASD AI, but not central to current speech/language ASD workflow."
P075,FSRV7CWR,Medium,review_background_or_gap,review/synthesis paper useful for background and gap framing; video/behavior modality; useful mainly for multimodal/future-work context,Editorial: Autism: the movement (sensing) perspective a decade later,2025,Frontiers in Integrative Neuroscience,Review / Survey; Video / Behavior / Movement,10.3389/fnint.2025.1634265,yes,/Users/porschecaa/Zotero/storage/T8U3YWYW/Editorial - Autism - the movement (sensing) perspective a decade later.pdf,01_Speech_Audio; 05_Multimodal_AI; 06_Clinical_Ethics_Privacy; 00_All_ASD_AI_Literature,exclude,"Peripheral, editorial/opinion, animal-only, or broad mental-health source; not needed for speech/NLP ASD review.",exclude,,,,,exclude,,,,,,Not_appraised,exclude,"Peripheral, editorial/opinion, animal-only, or broad mental-health source; not needed for speech/NLP ASD review."
P076,BP4ANM7L,Medium,clinical_screening_context,clinical screening/assessment relevance; video/behavior modality; useful mainly for multimodal/future-work context,Enhancing the Diagnosis of Early Autism Spectrum Disorder: A Comparative Study of Explainable Machine Learning Models and Feature Importance Analysis,2025,Journal of Disability Research,Video / Behavior / Movement; Clinical Tools / Screening; General AI / ML Prediction,10.57197/jdr-2025-0662,yes,/Users/porschecaa/Downloads/Enhancing the Diagnosis of Early Autism Spectrum Disorder - A Comparative Study of Explainable Machine Learning Models and Feature Importance Analysis.pdf,03_Video_Behavior; 00_All_ASD_AI_Literature; 06_Clinical_Ethics_Privacy,exclude,"Relevant to broader multimodal ASD AI, but not central to current speech/language ASD workflow.",exclude,,,,,exclude,,,,,,Not_appraised,exclude,"Relevant to broader multimodal ASD AI, but not central to current speech/language ASD workflow."
P077,VDSNGK2Y,Medium,clinical_screening_context,clinical screening/assessment relevance; video/behavior modality; useful mainly for multimodal/future-work context; less central modality for current speech/language project,Explainable and secure framework for autism prediction using multimodal eye tracking and kinematic data,2025,Complex & Intelligent Systems,Video / Behavior / Movement; Eye Tracking / Gaze; Clinical Tools / Screening; Intervention / Therapy / Education; General AI / ML Prediction,10.1007/s40747-025-01790-3,yes,/Users/porschecaa/Zotero/storage/6RZPTZB9/Explainable and secure framework for autism prediction using multimodal eye tracking and kinematic data.pdf,03_Video_Behavior; 05_Multimodal_AI; 06_Clinical_Ethics_Privacy; 00_All_ASD_AI_Literature,exclude,"Relevant to broader multimodal ASD AI, but not central to current speech/language ASD workflow.",exclude,,,,,exclude,,,,,,Not_appraised,exclude,"Relevant to broader multimodal ASD AI, but not central to current speech/language ASD workflow."
P078,BLSQ96QE,Medium,multimodal_or_future_work_context,video/behavior modality; useful mainly for multimodal/future-work context; less central modality for current speech/language project; PDF missing; title/abstract screening only until PDF is retrieved,Machine Learning Predictive Models for Autism Spectrum Disorder Using Eye-Tracking Technology,2025,IEEE Conference Publication,Eye Tracking / Gaze; General AI / ML Prediction,,no,,00_All_ASD_AI_Literature; 03_Video_Behavior,exclude,"Relevant to broader multimodal ASD AI, but not central to current speech/language ASD workflow.",exclude,,,,,exclude,,,,,,Not_appraised,exclude,"Relevant to broader multimodal ASD AI, but not central to current speech/language ASD workflow."
P079,9J3ZR88N,Medium,clinical_screening_context,clinical screening/assessment relevance; video/behavior modality; useful mainly for multimodal/future-work context; less central modality for current speech/language project,Multi-modal data analysis for autism spectrum disorder in children: State of the art and trends,2025,EngMedicine,Video / Behavior / Movement; Neuroimaging / EEG / Biomarkers; Clinical Tools / Screening; Intervention / Therapy / Education,10.1016/j.engmed.2025.100117,yes,/Users/porschecaa/Downloads/Multi-modal data analysis for autism spectrum disorder in children - State of the art and trends.pdf,03_Video_Behavior; 05_Multimodal_AI; 00_All_ASD_AI_Literature; 06_Clinical_Ethics_Privacy,exclude,"Relevant to broader multimodal ASD AI, but not central to current speech/language ASD workflow.",exclude,,,,,exclude,,,,,,Not_appraised,exclude,"Relevant to broader multimodal ASD AI, but not central to current speech/language ASD workflow."
P080,V6IXTZNS,Medium,clinical_screening_context,clinical screening/assessment relevance; less central modality for current speech/language project,Robust Autism Spectrum Disorder Screening Based on Facial Images (For Disability Diagnosis): A Domain-Adaptive Deep Ensemble Approach,2025,Diagnostics,Clinical Tools / Screening,10.3390/diagnostics15131601,yes,/Users/porschecaa/Zotero/storage/ES89CKL3/Robust Autism Spectrum Disorder Screening Based on Facial Images (For Disability Diagnosis) - A Domain-Adaptive Deep Ensemble Approach.pdf,09_Thai_Local_Context,exclude,"Not selected after balancing relevance, evidence strength, and redundancy against stronger included papers.",exclude,,,,,exclude,,,,,,Not_appraised,exclude,"Not selected after balancing relevance, evidence strength, and redundancy against stronger included papers."
P081,EBNLBR4Y,Medium,clinical_screening_context,clinical screening/assessment relevance; video/behavior modality; useful mainly for multimodal/future-work context,The use of Artificial Intelligence for Intervention and Assessment in Individuals with ASD,2025,ArXiv,Video / Behavior / Movement; Clinical Tools / Screening; Intervention / Therapy / Education; General AI / ML Prediction,10.48550/arxiv.2505.02747,yes,/Users/porschecaa/Zotero/storage/YKBRDFG8/The use of Artificial Intelligence for Intervention and Assessment in Individuals with ASD.pdf,03_Video_Behavior; 06_Clinical_Ethics_Privacy; 00_All_ASD_AI_Literature,exclude,"Relevant to broader multimodal ASD AI, but not central to current speech/language ASD workflow.",exclude,,,,,exclude,,,,,,Not_appraised,exclude,"Relevant to broader multimodal ASD AI, but not central to current speech/language ASD workflow."
P082,8FEXCLN5,Medium,multimodal_or_future_work_context,video/behavior modality; useful mainly for multimodal/future-work context,Deep learning based approach for Behavior classification in diagnoses of Autism Spectrum Disorder using naturalistic videos,2026,Frontiers in Computational Neuroscience,Video / Behavior / Movement; General AI / ML Prediction,10.3389/fncom.2026.1626315,yes,/Users/porschecaa/Zotero/storage/ZNT84XTK/Deep learning based approach for Behavior classification in diagnoses of Autism Spectrum Disorder using naturalistic videos.pdf,03_Video_Behavior; 00_All_ASD_AI_Literature,exclude,"Relevant to broader multimodal ASD AI, but not central to current speech/language ASD workflow.",exclude,,,,,exclude,,,,,,Not_appraised,exclude,"Relevant to broader multimodal ASD AI, but not central to current speech/language ASD workflow."
P083,Q5WYSSFN,Medium,clinical_screening_context,clinical screening/assessment relevance; video/behavior modality; useful mainly for multimodal/future-work context,Unified interpretable AI for autism diagnosis and scalable severity-aware personalized adaptive e-learning,2026,Discover Applied Sciences,Video / Behavior / Movement; Clinical Tools / Screening; Intervention / Therapy / Education; General AI / ML Prediction,10.1007/s42452-026-08335-4,yes,/Users/porschecaa/Zotero/storage/BWYJLHHC/Unified interpretable AI for autism diagnosis and scalable severity-aware personalized adaptive e-learning.pdf,03_Video_Behavior; 05_Multimodal_AI; 06_Clinical_Ethics_Privacy; 00_All_ASD_AI_Literature,exclude,"Relevant to broader multimodal ASD AI, but not central to current speech/language ASD workflow.",exclude,,,,,exclude,,,,,,Not_appraised,exclude,"Relevant to broader multimodal ASD AI, but not central to current speech/language ASD workflow."
P084,5QKRXXQ8,Low,peripheral_or_context,metadata match is broad; manually verify relevance,Artificial Intelligence in Mental Health Care,2023,Indian Journal of Psychiatric Nursing,General AI / ML Prediction,10.4103/iopn.iopn_50_23,yes,/Users/porschecaa/Downloads/Artificial Intelligence in Mental Health Care.pdf,01_Speech_Audio; 00_All_ASD_AI_Literature; 06_Clinical_Ethics_Privacy,exclude,"Peripheral, editorial/opinion, animal-only, or broad mental-health source; not needed for speech/NLP ASD review.",exclude,,,,,exclude,,,,,,Not_appraised,exclude,"Peripheral, editorial/opinion, animal-only, or broad mental-health source; not needed for speech/NLP ASD review."
P085,AWWU87TM,Low,peripheral_or_context,metadata match is broad; manually verify relevance,Editorial: Emerging artificial intelligence technologies for neurological and neuropsychiatric research,2024,Frontiers in Neuroscience,General AI / ML Prediction,10.3389/fnins.2024.1518442,yes,/Users/porschecaa/Zotero/storage/99FSNIKC/Editorial - Emerging artificial intelligence technologies for neurological and neuropsychiatric research.pdf,03_Video_Behavior; 05_Multimodal_AI; 06_Clinical_Ethics_Privacy; 00_All_ASD_AI_Literature,exclude,"Peripheral, editorial/opinion, animal-only, or broad mental-health source; not needed for speech/NLP ASD review.",exclude,,,,,exclude,,,,,,Not_appraised,exclude,"Peripheral, editorial/opinion, animal-only, or broad mental-health source; not needed for speech/NLP ASD review."
P086,6AFZDK4K,Low,peripheral_or_context,metadata match is broad; manually verify relevance,Machine Learning Prediction of Autism Spectrum Disorder From a Minimal Set of Medical and Background Information,2024,JAMA Network Open,General AI / ML Prediction,,yes,/Users/porschecaa/Downloads/Machine Learning Prediction of Autism Spectrum Disorder From a Minimal Set of Medical and Background Information.pdf,04_Questionnaire_Screening; 00_All_ASD_AI_Literature; 06_Clinical_Ethics_Privacy,exclude,"Peripheral, editorial/opinion, animal-only, or broad mental-health source; not needed for speech/NLP ASD review.",exclude,,,,,exclude,,,,,,Not_appraised,exclude,"Peripheral, editorial/opinion, animal-only, or broad mental-health source; not needed for speech/NLP ASD review."
P087,BVJBF2UV,Low,peripheral_or_context,metadata match is broad; manually verify relevance,Effectiveness of Artificial Intelligence–Based Platform in Administering Therapies for Children With Autism Spectrum Disorder: 12-Month Observational Study,2025,JMIR Neurotechnology,Intervention / Therapy / Education; General AI / ML Prediction,10.2196/70589,yes,/Users/porschecaa/Downloads/Effectiveness of Artificial Intelligence–Based Platform in Administering Therapies for Children With Autism Spectrum Disorder - 12-Month Observational Study.pdf,03_Video_Behavior; 00_All_ASD_AI_Literature; 06_Clinical_Ethics_Privacy,exclude,"Peripheral, editorial/opinion, animal-only, or broad mental-health source; not needed for speech/NLP ASD review.",exclude,,,,,exclude,,,,,,Not_appraised,exclude,"Peripheral, editorial/opinion, animal-only, or broad mental-health source; not needed for speech/NLP ASD review."
P088,LICTUIET,Low,peripheral_or_context,metadata match is broad; manually verify relevance,Leveraging AI-based digital systems in psychological interventions: a research opinion,2025,Frontiers in Digital Health,Intervention / Therapy / Education,10.3389/fdgth.2025.1693504,yes,/Users/porschecaa/Zotero/storage/D669CZW3/Leveraging AI-based digital systems in psychological interventions - a research opinion.pdf,03_Video_Behavior; 05_Multimodal_AI; 06_Clinical_Ethics_Privacy; 00_All_ASD_AI_Literature,exclude,"Peripheral, editorial/opinion, animal-only, or broad mental-health source; not needed for speech/NLP ASD review.",exclude,,,,,exclude,,,,,,Not_appraised,exclude,"Peripheral, editorial/opinion, animal-only, or broad mental-health source; not needed for speech/NLP ASD review."
